session_id,subject_id,segment,key_id,key_category,press_time_ms,release_time_ms,dwell_ms,shift_held,shift_hold_ms
session_003,candidate_09,pangram,key_22,alphanum,25610.9,25717.8,106.9,False,0
session_003,candidate_09,pangram,key_02,alphanum,25690.9,25787.2,96.3,False,0
session_003,candidate_09,pangram,key_08,alphanum,25818.8,25905.1,86.3,False,0
session_003,candidate_09,pangram,key_30,alphanum,25987.3,26102.4,115.1,False,0
session_003,candidate_09,pangram,key_19,alphanum,26070.9,26186.9,116,False,0
session_003,candidate_09,pangram,key_07,alphanum,27036.5,27123.2,86.7,False,0
session_003,candidate_09,pangram,key_09,alphanum,27133.2,27219.5,86.3,False,0
session_003,candidate_09,pangram,key_15,alphanum,27417.7,27518.2,100.5,False,0
session_003,candidate_09,pangram,key_22,alphanum,27651.1,27720.9,69.8,False,0
session_003,candidate_09,pangram,key_03,alphanum,27857.5,27925,67.5,False,0
session_003,candidate_09,pangram,key_26,alphanum,28105.9,28235.3,129.4,False,0
session_003,candidate_09,pangram,key_18,space,28233.2,28365.7,132.5,False,0
session_003,candidate_09,pangram,key_24,alphanum,28393.8,28493.9,100.1,False,0
session_003,candidate_09,pangram,key_11,alphanum,28733.5,28898.7,165.2,False,0
session_003,candidate_09,pangram,key_18,space,28853.7,28953.3,99.6,False,0
session_003,candidate_09,pangram,key_12,alphanum,29306.3,29375,68.7,False,0
session_003,candidate_09,pangram,key_30,alphanum,29501.4,29601.4,100,False,0
session_003,candidate_09,pangram,key_16,alphanum,29584.8,29717.6,132.8,False,0
session_003,candidate_09,pangram,key_02,alphanum,29724,29852.8,128.8,False,0
session_003,candidate_09,pangram,key_08,alphanum,29836.3,29939.7,103.4,False,0
session_003,candidate_09,pangram,key_18,space,29951.7,30075.6,123.9,False,0
session_003,candidate_09,pangram,key_23,alphanum,30224.9,30266.2,41.3,False,0
session_003,candidate_09,pangram,key_13,backspace,30538,30594.4,56.4,False,0
session_003,candidate_09,pangram,key_27,alphanum,30684.6,30742.5,57.9,False,0
session_003,candidate_09,pangram,key_23,alphanum,30784.7,30832.1,47.4,False,0
session_003,candidate_09,pangram,key_16,alphanum,30915.8,31100.5,184.7,False,0
session_003,candidate_09,pangram,key_01,alphanum,31107.9,31156.3,48.4,False,0
session_003,candidate_09,pangram,key_17,alphanum,31359.6,31439.2,79.6,False,0
session_003,candidate_09,pangram,key_26,alphanum,31654.1,31753,98.9,False,0
session_003,candidate_09,pangram,key_18,space,31769.6,31900.2,130.6,False,0
session_003,candidate_09,pangram,key_29,alphanum,31973.1,32077.2,104.1,False,0
session_003,candidate_09,pangram,key_23,alphanum,32186.3,32255.9,69.6,False,0
session_003,candidate_09,pangram,key_28,alphanum,32341.2,32453.4,112.2,False,0
session_003,candidate_09,pangram,key_11,alphanum,32503.8,32643.6,139.8,False,0
session_003,candidate_09,pangram,key_06,alphanum,32650,32772.4,122.4,False,0
session_003,candidate_09,pangram,key_18,space,32776.6,32899.4,122.8,False,0
session_003,candidate_09,pangram,key_20,alphanum,32933.3,33042,108.7,False,0
session_003,candidate_09,pangram,key_19,alphanum,33021.4,33118.2,96.8,False,0
session_003,candidate_09,pangram,key_18,space,33166,33272.1,106.1,False,0
session_003,candidate_09,pangram,key_25,alphanum,33573.4,33685.2,111.8,False,0
session_003,candidate_09,pangram,key_24,alphanum,33720.3,33768.1,47.8,False,0
session_003,candidate_09,pangram,key_06,alphanum,33820.1,33923.5,103.4,False,0
session_003,candidate_09,pangram,key_17,alphanum,35152,35272,120,False,0
session_003,candidate_09,pangram,key_15,alphanum,35243.3,35322.4,79.1,False,0
session_003,candidate_09,pangram,key_06,alphanum,35299.2,35426.5,127.3,False,0
session_003,candidate_09,pangram,key_18,space,35406.3,35532.8,126.5,False,0
session_003,candidate_09,pangram,key_27,alphanum,35650.3,35716.1,65.8,False,0
session_003,candidate_09,pangram,key_23,alphanum,35691.1,35834.3,143.2,False,0
session_003,candidate_09,pangram,key_22,alphanum,35817.1,35926.7,109.6,False,0
session_003,candidate_09,pangram,key_02,alphanum,36220,36291.4,71.4,False,0
session_003,candidate_09,pangram,key_08,alphanum,36300.6,36383.2,82.6,False,0
session_003,candidate_09,pangram,key_18,space,36405.7,36518.5,112.8,False,0
session_003,candidate_09,pangram,key_12,alphanum,36561.4,36624.4,63,False,0
session_003,candidate_09,pangram,key_01,alphanum,36658.5,36758.7,100.2,False,0
session_003,candidate_09,pangram,key_24,alphanum,36800.2,36899.4,99.2,False,0
session_003,candidate_09,pangram,key_10,alphanum,36886.6,36999.1,112.5,False,0
session_003,candidate_09,pangram,key_03,alphanum,37023.5,37087.4,63.9,False,0
session_003,candidate_09,pangram,key_18,space,37082.5,37188.1,105.6,False,0
session_003,candidate_09,pangram,key_14,alphanum,37248.3,37354.1,105.8,False,0
session_003,candidate_09,pangram,key_24,alphanum,37357.9,37453.4,95.5,False,0
session_003,candidate_09,pangram,key_26,alphanum,37536.8,37635.8,99,False,0
session_003,candidate_09,pangram,key_18,space,37621.4,37733.1,111.7,False,0
session_003,candidate_09,pangram,key_29,alphanum,37769.2,37867.9,98.7,False,0
session_003,candidate_09,pangram,key_23,alphanum,37985.8,38033,47.2,False,0
session_003,candidate_09,pangram,key_20,alphanum,38223.1,38287.8,64.7,False,0
session_003,candidate_09,pangram,key_09,alphanum,38374.9,38452.5,77.6,False,0
session_003,candidate_09,pangram,key_07,alphanum,38492,38607.6,115.6,False,0
session_003,candidate_09,pangram,key_18,space,38601,38719.2,118.2,False,0
session_003,candidate_09,pangram,key_24,alphanum,38754.5,38860.4,105.9,False,0
session_003,candidate_09,pangram,key_25,alphanum,38900.6,39039.7,139.1,False,0
session_003,candidate_09,pangram,key_06,alphanum,39051.3,39185.6,134.3,False,0
session_003,candidate_09,pangram,key_18,space,39187.2,39285.3,98.1,False,0
session_003,candidate_09,pangram,key_13,backspace,39651.3,39719.6,68.3,False,0
session_003,candidate_09,pangram,key_01,alphanum,39789.2,39832.3,43.1,False,0
session_003,candidate_09,pangram,key_18,space,39851.5,39951.8,100.3,False,0
session_003,candidate_09,pangram,key_15,alphanum,40091,40186.9,95.9,False,0
session_003,candidate_09,pangram,key_13,backspace,40556.9,40620.4,63.5,False,0
session_003,candidate_09,pangram,key_17,alphanum,41308.6,41388.3,79.7,False,0
session_003,candidate_09,pangram,key_15,alphanum,41402.2,41472.8,70.6,False,0
session_003,candidate_09,pangram,key_06,alphanum,41487,41608.4,121.4,False,0
session_003,candidate_09,pangram,key_18,space,41574.7,41699.2,124.5,False,0
session_003,candidate_09,pangram,key_30,alphanum,41717.6,41819.8,102.2,False,0
session_003,candidate_09,pangram,key_16,alphanum,41851,41960.5,109.5,False,0
session_003,candidate_09,pangram,key_05,alphanum,41966,42083.6,117.6,False,0
session_003,candidate_09,pangram,key_19,alphanum,42119.8,42199,79.2,False,0
session_003,candidate_09,pangram,key_18,space,42209.3,42357.9,148.6,False,0
session_003,candidate_09,pangram,key_28,alphanum,42501.6,42557.4,55.8,False,0
session_003,candidate_09,pangram,key_24,alphanum,42755,42834.7,79.7,False,0
session_003,candidate_09,pangram,key_11,alphanum,42852.8,42951.4,98.6,False,0
session_003,candidate_09,pangram,key_09,alphanum,43553.8,43652.3,98.5,False,0
session_003,candidate_09,pangram,key_16,alphanum,43666.7,43833.9,167.2,False,0
session_003,candidate_09,pangram,key_02,alphanum,43800.5,43922.1,121.6,False,0
session_003,candidate_09,pangram,key_08,alphanum,43960.6,44040,79.4,False,0
session_003,candidate_09,pangram,key_18,space,44044.9,44136.2,91.3,False,0
session_003,candidate_09,pangram,key_20,alphanum,44187,44272.9,85.9,False,0
session_003,candidate_09,pangram,key_19,alphanum,44317,44366.7,49.7,False,0
session_003,candidate_09,pangram,key_18,space,44484.8,44566.1,81.3,False,0
session_003,candidate_09,pangram,key_12,alphanum,44675.2,44735.1,59.9,False,0
session_003,candidate_09,pangram,key_24,alphanum,44842.4,44942.1,99.7,False,0
session_003,candidate_09,pangram,key_05,alphanum,44952.1,45072.6,120.5,False,0
session_003,candidate_09,pangram,key_18,space,45099.2,45188.7,89.5,False,0
session_003,candidate_09,pangram,key_10,alphanum,45304.1,45414.3,110.2,False,0
session_003,candidate_09,pangram,key_22,alphanum,45398.9,45487.5,88.6,False,0
session_003,candidate_09,pangram,key_17,alphanum,45500.3,45576.6,76.3,False,0
session_003,candidate_09,pangram,key_15,alphanum,45617.3,45684.2,66.9,False,0
session_003,candidate_09,pangram,key_18,space,45653.4,45789.3,135.9,False,0
session_003,candidate_09,pangram,key_14,alphanum,45834.3,45954.2,119.9,False,0
session_003,candidate_09,pangram,key_22,alphanum,45966.1,46042.1,76,False,0
session_003,candidate_09,pangram,key_25,alphanum,46087.9,46220.4,132.5,False,0
session_003,candidate_09,pangram,key_06,alphanum,46199.4,46333.7,134.3,False,0
session_003,candidate_09,pangram,key_18,space,46335.6,46435.1,99.5,False,0
session_003,candidate_09,pangram,key_28,alphanum,46533.8,46636.3,102.5,False,0
session_003,candidate_09,pangram,key_24,alphanum,46633.6,46703.3,69.7,False,0
session_003,candidate_09,pangram,key_26,alphanum,46842.2,47011.1,168.9,False,0
session_003,candidate_09,pangram,key_06,alphanum,46990.7,47116.5,125.8,False,0
session_003,candidate_09,pangram,key_03,alphanum,47141.2,47189.8,48.6,False,0
session_003,candidate_09,pangram,key_18,space,47219.1,47351.3,132.2,False,0
session_003,candidate_09,pangram,key_30,alphanum,47431.4,47599.3,167.9,False,0
session_003,candidate_09,pangram,key_22,alphanum,47556.2,47691.8,135.6,False,0
session_003,candidate_09,pangram,key_27,alphanum,47874.8,48000.7,125.9,False,0
session_003,candidate_09,pangram,key_23,alphanum,48133.2,48234.1,100.9,False,0
session_003,candidate_09,pangram,key_24,alphanum,48369,48461,92,False,0
session_003,candidate_09,pangram,key_01,alphanum,48490.5,48651.7,161.2,False,0
session_003,candidate_09,pangram,key_18,space,48685.8,48776.4,90.6,False,0
session_003,candidate_09,pangram,key_29,alphanum,48918.8,48999.2,80.4,False,0
session_003,candidate_09,pangram,key_23,alphanum,49108.6,49161.3,52.7,False,0
session_003,candidate_09,pangram,key_11,alphanum,49194.8,49299.9,105.1,False,0
session_003,candidate_09,pangram,key_07,alphanum,49268,49418.3,150.3,False,0
session_003,candidate_09,pangram,key_15,alphanum,50068.7,50152.9,84.2,False,0
session_003,candidate_09,pangram,key_24,alphanum,50163.3,50275.3,112,False,0
session_003,candidate_09,pangram,key_10,alphanum,50290.9,50409.9,119,False,0
session_003,candidate_09,pangram,key_18,space,50432.7,50536.9,104.2,False,0
session_003,candidate_09,pangram,key_25,alphanum,50617.6,50760.3,142.7,False,0
session_003,candidate_09,pangram,key_06,alphanum,50752.4,50892.5,140.1,False,0
session_003,candidate_09,pangram,key_05,alphanum,50937.3,51050,112.7,False,0
session_003,candidate_09,pangram,key_22,alphanum,51066.3,51209,142.7,False,0
session_003,candidate_09,pangram,key_03,alphanum,51157.6,51253.2,95.6,False,0
