session_id,subject_id,time_ms,dx,dy
session_003,candidate_09,6233.6,5.46484,0.816406
session_003,candidate_09,6250.2,6.57812,0.871094
session_003,candidate_09,6266.9,5.35156,0.816406
session_003,candidate_09,6300.2,7.41797,0.394531
session_003,candidate_09,6316.9,3.20312,0
session_003,candidate_09,6333.5,3.20312,0
session_003,candidate_09,6350.2,3.67969,0
session_003,candidate_09,6366.9,3.6875,0
session_003,candidate_09,6383,3.20703,0
session_003,candidate_09,6400.2,4.33594,-0.769531
session_003,candidate_09,6416.9,4.22266,-0.769531
session_003,candidate_09,6433.6,6.58984,-0.878906
session_003,candidate_09,6449.4,5.46484,-0.90625
session_003,candidate_09,6466.5,6.59375,-0.878906
session_003,candidate_09,6483.6,5.94531,-1.27734
session_003,candidate_09,6500.2,4.75781,-0.796875
session_003,candidate_09,6516.9,5.05078,-1.08594
session_003,candidate_09,6533.5,1.50391,-0.285156
session_003,candidate_09,6550.2,0.515625,-0.261719
session_003,candidate_09,6566.9,0.257812,0
session_003,candidate_09,6616.9,-0.238281,0
session_003,candidate_09,6633.1,-0.523438,0
session_003,candidate_09,6650.3,-0.523438,0
session_003,candidate_09,6666.9,-0.523438,0
session_003,candidate_09,6683.6,-0.523438,0
session_003,candidate_09,6700.3,-0.246094,0
session_003,candidate_09,6717.1,-0.261719,0
session_003,candidate_09,6733.7,-0.503906,0
session_003,candidate_09,6750.2,-0.523438,0.257812
session_003,candidate_09,6783.7,-1.67188,0
session_003,candidate_09,6800.4,-1.94141,0
session_003,candidate_09,6817,-4.8125,0
session_003,candidate_09,6833.6,-4.23047,0
session_003,candidate_09,6850.3,-5.35938,0
session_003,candidate_09,6866.9,-4.23047,0
session_003,candidate_09,6883.7,-4.23047,0
session_003,candidate_09,6900.4,-5.97656,0
session_003,candidate_09,6917,-5.98438,0.394531
session_003,candidate_09,6933.8,-5.47266,0.449219
session_003,candidate_09,6950.4,-5.95312,0
session_003,candidate_09,6966.2,-5.35938,0.394531
session_003,candidate_09,6983.3,-9.6875,0
session_003,candidate_09,7000.5,-7.92188,0
session_003,candidate_09,7016.9,-10.9531,0
session_003,candidate_09,7033.6,-11.7969,0
session_003,candidate_09,7050.1,-11.8047,0
session_003,candidate_09,7066.1,-13.5469,0
session_003,candidate_09,7083.7,-14.3945,0
session_003,candidate_09,7100.2,-22.7812,0
session_003,candidate_09,7117,-22.8047,0.703125
session_003,candidate_09,7133.5,-17.0664,0
session_003,candidate_09,7149.4,-19.4023,0
session_003,candidate_09,7166.9,-15.3711,0
session_003,candidate_09,7183.6,-13.4648,-0.566406
session_003,candidate_09,7199.9,-17.5469,-0.675781
session_003,candidate_09,7217,-11.3086,0
session_003,candidate_09,7233.7,-13.5469,-0.566406
session_003,candidate_09,7250,-13.5469,0
session_003,candidate_09,7267,-11.8047,0
session_003,candidate_09,7283.5,-10.9727,0
session_003,candidate_09,7299.6,-10.9883,0
session_003,candidate_09,7317,-11.8047,0.535156
session_003,candidate_09,7333.6,-10.1719,1.01562
session_003,candidate_09,7350.2,-6.70703,0.480469
session_003,candidate_09,7366,-7.26953,0.535156
session_003,candidate_09,7383.8,-8.05859,0.421875
session_003,candidate_09,7400.4,-6.60156,0
session_003,candidate_09,7417,-4.22656,0.367188
session_003,candidate_09,7433.7,-8.33594,1.23828
session_003,candidate_09,7466.9,-7.89062,1.12891
session_003,candidate_09,7483.5,-3.69531,0.734375
session_003,candidate_09,7500.3,-3.69531,0.734375
session_003,candidate_09,7517,-3.21094,0.707031
session_003,candidate_09,7533.6,-3.20703,0.335938
session_003,candidate_09,7550.3,-2.73438,0.679688
session_003,candidate_09,7566.3,-2.73438,0
session_003,candidate_09,7583.7,-2.73438,0.339844
session_003,candidate_09,7617.1,-8.57422,1.18359
session_003,candidate_09,7633.7,-5.35547,0.421875
session_003,candidate_09,7650.3,-5.95312,0.84375
session_003,candidate_09,7667.1,-6.60156,0.449219
session_003,candidate_09,7683.7,-6.60156,0
session_003,candidate_09,7700.3,-6.93359,0.367188
session_003,candidate_09,7717,-6.59375,0
session_003,candidate_09,7733.6,-7.23828,0
session_003,candidate_09,7750.3,-7.95312,0
session_003,candidate_09,7767,-9.39453,0
session_003,candidate_09,7783.1,-10.0859,0
session_003,candidate_09,7800.3,-11.7773,0
session_003,candidate_09,7817,-12.6758,0.535156
session_003,candidate_09,7833.6,-13.5352,0
session_003,candidate_09,7849.3,-13.5469,0
session_003,candidate_09,7866,-10.9883,0.535156
session_003,candidate_09,7883.5,-6.00781,0
session_003,candidate_09,7899.3,-7.25,0
session_003,candidate_09,7917,-7.74219,0
session_003,candidate_09,7933.4,-4.23047,0
session_003,candidate_09,7949.5,-3.21484,0
session_003,candidate_09,7966.9,-2.78906,0
session_003,candidate_09,7983.8,-1.94141,0
session_003,candidate_09,8016.9,-1.98438,-0.261719
session_003,candidate_09,8033.6,-0.835938,0
session_003,candidate_09,8050.2,-0.523438,-0.523438
session_003,candidate_09,8066.9,-0.832031,-0.261719
session_003,candidate_09,8100.3,-2.66406,-1.18359
session_003,candidate_09,8117,-3.69531,-0.742188
session_003,candidate_09,8133.6,-3.75,-0.742188
session_003,candidate_09,8150.3,-3.69531,-0.742188
session_003,candidate_09,8182.6,-5.52344,-1.375
session_003,candidate_09,8199.7,-1.14844,-0.574219
session_003,candidate_09,8216,-0.523438,-0.523438
session_003,candidate_09,8233.7,-0.574219,-0.289062
session_003,candidate_09,8250.3,-0.246094,-0.261719
session_003,candidate_09,8266.9,-0.246094,0
session_003,candidate_09,8300.5,-0.492188,-0.492188
session_003,candidate_09,8317,-0.246094,0
session_003,candidate_09,8333.7,0,-0.246094
session_003,candidate_09,8383.7,0.234375,0
session_003,candidate_09,8400.3,1.875,0
session_003,candidate_09,8417.1,2.30078,0
session_003,candidate_09,8433.7,3.20703,0
session_003,candidate_09,8450.3,5.94531,0.421875
session_003,candidate_09,8467,7.94531,0.480469
session_003,candidate_09,8483.7,10.918,0
session_003,candidate_09,8500.4,12.668,0.5625
session_003,candidate_09,8517,12.6523,0
session_003,candidate_09,8533.7,11.7227,0
session_003,candidate_09,8549.3,11.7734,0
session_003,candidate_09,8567,11.793,-1.07812
session_003,candidate_09,8583.6,10.1641,-1.53125
session_003,candidate_09,8600.3,10.1602,-1.02344
session_003,candidate_09,8617,9.38672,-0.507812
session_003,candidate_09,8633.7,9.37891,0
session_003,candidate_09,8650.4,10.1641,0
session_003,candidate_09,8667.1,11.7969,-0.539062
session_003,candidate_09,8683.8,12.6641,0
session_003,candidate_09,8700.3,11.7383,0
session_003,candidate_09,8716.5,11.7969,-0.539062
session_003,candidate_09,8733.6,11.7969,-0.539062
session_003,candidate_09,8750.5,11.7969,-1.07812
session_003,candidate_09,8767.1,12.668,-1.66797
session_003,candidate_09,8783.6,21.2383,-2.32031
session_003,candidate_09,8800.3,13.5,-1.12891
session_003,candidate_09,8817,12.582,0
session_003,candidate_09,8833.7,12.668,0
session_003,candidate_09,8850.4,10.9805,0
session_003,candidate_09,8867,10.1484,0
session_003,candidate_09,8883.7,11.7656,0.535156
session_003,candidate_09,8900.3,11.7969,1.07031
session_003,candidate_09,8916.9,12.6641,1.09766
session_003,candidate_09,8933.6,14.4648,1.15234
session_003,candidate_09,8950.3,15.3984,0.589844
session_003,candidate_09,8967,15.3398,0.589844
