session_id,subject_id,trial_index,pattern,time_ms,offset_x,offset_y,error_px
session_003,candidate_09,1,sinusoidal,4549.47,-27.1339,3.28516,27.332
session_003,candidate_09,1,sinusoidal,4566.57,-25.642,3.28516,25.8516
session_003,candidate_09,1,sinusoidal,4583.37,-23.7558,3.28516,23.9819
session_003,candidate_09,1,sinusoidal,4616.77,-18.7777,3.28516,19.0629
session_003,candidate_09,1,sinusoidal,4633.37,-16.1744,3.28516,16.5046
session_003,candidate_09,1,sinusoidal,4666.27,-12.3097,3.57031,12.817
session_003,candidate_09,1,sinusoidal,4683.37,-8.87687,3.57031,9.56796
session_003,candidate_09,1,sinusoidal,4700.07,-8.39456,3.57031,9.12227
session_003,candidate_09,1,sinusoidal,4716.67,-6.59904,3.57031,7.50296
session_003,candidate_09,1,sinusoidal,4733.37,-5.41652,3.57031,6.48736
session_003,candidate_09,1,sinusoidal,4750.07,-4.99596,3.57031,6.14058
session_003,candidate_09,1,sinusoidal,4766.67,-3.64789,3.57031,5.10434
session_003,candidate_09,1,sinusoidal,4783.37,-2.51328,3.57031,4.3662
session_003,candidate_09,1,sinusoidal,4816.67,2.45189,3.57031,4.33116
session_003,candidate_09,1,sinusoidal,4833.37,6.25264,3.57031,7.20018
session_003,candidate_09,1,sinusoidal,4850.07,10.8638,3.57031,11.4354
session_003,candidate_09,1,sinusoidal,4866.67,16.6286,3.57031,17.0076
session_003,candidate_09,1,sinusoidal,4882.87,22.4836,3.57031,22.7653
session_003,candidate_09,1,sinusoidal,4899.07,28.6103,3.57031,28.8322
session_003,candidate_09,1,sinusoidal,4915.67,35.221,3.87891,35.434
session_003,candidate_09,1,sinusoidal,4932.37,40.2498,4.63672,40.516
session_003,candidate_09,1,sinusoidal,4949.07,44.7537,5.42578,45.0814
session_003,candidate_09,1,sinusoidal,4965.77,50.7405,5.82031,51.0732
session_003,candidate_09,1,sinusoidal,4983.37,55.8943,6.21484,56.2387
session_003,candidate_09,1,sinusoidal,4999.97,60.0459,7.05469,60.4589
session_003,candidate_09,1,sinusoidal,5016.77,64.5636,7.89844,65.0449
session_003,candidate_09,1,sinusoidal,5033.37,68.5017,8.76953,69.0608
session_003,candidate_09,1,sinusoidal,5066.67,76.2395,10.543,76.9651
session_003,candidate_09,1,sinusoidal,5083.37,78.6594,11.4961,79.495
